user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_max,year_first,year_last,grade_first_fra,grade_last_fra,grade_mean_fra
35611,Canada,0,182,73,43.0,29,2010-03-26 23:00:00,2010-09-29 22:00:00,9,64,2010,2010,8a+/8b,8a/+,8a/+
51243,Canada,0,172,68,20.0,6,2013-08-20 22:00:00,2014-06-20 22:00:00,14,59,2013,2014,7a+,6c/+,7a
41360,Canada,0,185,73,26.0,6,2015-07-19 22:00:00,2017-04-12 22:00:00,20,59,2015,2017,5b+,6b/+,6b/+
35825,Canada,0,183,73,28.0,7,2011-10-09 22:00:00,2011-10-09 22:00:00,1,31,2011,2011,5a+,5a+,5a+
56068,Canada,1,169,53,39.0,8,2014-08-04 22:00:00,2015-05-16 22:00:00,64,46,2014,2015,6b,6,6
17002,Canada,0,190,83,36.0,13,2006-05-11 22:00:00,2006-06-04 22:00:00,6,53,2006,2006,6a+/6b,7b,6b+/6c
47744,Canada,0,181,78,38.0,8,2012-06-22 22:00:00,2017-09-09 22:00:00,321,55,2012,2017,5a+,6a+/6b,6a+
5594,Canada,1,164,48,35.0,23,2004-02-21 23:00:00,2014-09-07 22:00:00,14,66,2004,2014,8a/+,8a/+,7c+/8a
6386,Canada,0,188,93,33.0,17,2003-05-31 22:00:00,2004-05-31 22:00:00,6,44,2003,2004,6a/+,6a+/6b,6a+/6b
17299,Canada,0,182,83,40.0,19,2006-07-02 22:00:00,2007-08-24 22:00:00,11,54,2006,2007,7a/+,7a,6c+
35443,Canada,0,186,78,33.0,11,2015-05-03 22:00:00,2017-05-16 22:00:00,3,51,2015,2017,7a+,7a+,7a+
30691,Canada,0,175,68,27.0,12,2010-03-01 23:00:00,2010-09-06 22:00:00,29,51,2010,2010,5b+,5a+,6a+/6b
27886,Canada,0,179,73,34.0,15,2009-07-22 22:00:00,2009-08-28 22:00:00,7,64,2009,2009,8a/+,8a+/8b,7c+/8a
60088,Canada,0,175,58,20.0,6,2015-10-14 22:00:00,2015-10-14 22:00:00,11,51,2015,2015,7a+,6a+/6b,6b+/6c
22007,Canada,0,175,68,26.0,18,2007-06-26 22:00:00,2008-07-29 22:00:00,6,65,2007,2008,8b,7c,8a
21108,Canada,0,177,68,31.0,14,2008-05-08 22:00:00,2017-06-03 22:00:00,180,62,2008,2017,6,7b,6c/+
21756,Canada,0,163,63,35.0,13,2006-06-04 22:00:00,2008-05-02 22:00:00,9,46,2006,2008,6a+/6b,6a+/6b,6a+
17051,Canada,1,172,58,31.0,18,2008-08-27 22:00:00,2008-08-27 22:00:00,1,40,2008,2008,6a+/6b,6a+/6b,6a+/6b
17429,Canada,1,161,53,26.0,13,2008-02-08 23:00:00,2013-04-20 22:00:00,16,53,2008,2013,7b,6c/+,6c+/7a
60206,Canada,1,170,63,31.0,13,2015-07-09 22:00:00,2015-06-03 22:00:00,5,53,2015,2015,7a,6b+/6c,6c+/7a
6957,Canada,0,178,63,33.0,19,2003-10-29 23:00:00,2001-08-31 22:00:00,2,59,2003,2001,7c+,7b,7b+/7c
51135,Canada,0,178,68,33.0,15,2013-09-05 22:00:00,2015-03-10 23:00:00,49,68,2013,2015,7c+,8a/+,7b+
49382,Canada,0,200,88,32.0,9,2013-05-18 22:00:00,2013-05-18 22:00:00,1,51,2013,2013,7a+,7a+,7a+
35664,Canada,0,173,63,40.0,8,2011-04-21 22:00:00,2013-06-15 22:00:00,22,33,2011,2013,5a+,5a+,5a
