,crag,sector,name,grade_fra,Country
269,boven,tranquilitas,excuse me while i kiss the sky,6a/+,South Africa
270,boven,tranquilitas,little bonsai,5a+,South Africa
271,boven,tranquilitas,lost in translation,6b+/6c,South Africa
272,boven,tranquilitas,malaria,6b+/6c,South Africa
273,boven,tranquilitas,me tarzan you jane,5b,South Africa
274,boven,tranquilitas,nitros tick fever,7b+,South Africa
275,boven,tranquilitas,peaceful sleep,6b/+,South Africa
276,boven,tranquilitas,pit fighter,8a+,South Africa
277,boven,tranquilitas,rock rally,6b/+,South Africa
278,boven,tranquilitas,rubiks cube,7a/+,South Africa
279,boven,tranquilitas,stitch it,7c+/8a,South Africa
280,boven,tranquilitas,swat team,7a/+,South Africa
281,boven,tranquilitas,up your tree,6a+,South Africa
282,boven,tranquilitas,vision thing,5c+,South Africa
283,boven,tranquilitas,whose line is it anyway,6c/+,South Africa
284,boven,tranquilitas,yellow polka dot,7b,South Africa
285,boven,waterfall,as the world disappears,7b/+,South Africa
286,boven,waterfall,madiba magic,6a,South Africa
287,boven,waterfall,superfly,6c/+,South Africa
288,boven,waterfall,too early for the sky,5c+,South Africa
289,boven,waterfall,whos your daddy,6a/+,South Africa
290,boven,waterval,boulder problem,6c/+,South Africa
291,boven,waterval,ceasarian,6c+/7a,South Africa
292,boven,waterval,dreamers,6c/+,South Africa
293,boven,waterval,dungeons and dragons,7b/+,South Africa
294,boven,waterval,freak on,7a,South Africa
295,boven,waterval,jump in the fire,6b+/6c,South Africa
296,boven,waterval,lotters desire,7b+,South Africa
297,boven,waterval,madiba magic,6,South Africa
298,boven,waterval,out on a limb,7b/+,South Africa
299,boven,waterval,rude bushman,7a/+,South Africa
300,bronkies,left side,angry dragon,6b/+,South Africa
301,bronkies,left side,dark half,6c,South Africa
302,bronkies,left side,devils advocate,7b,South Africa
303,bronkies,left side,devils concubine,6b+/6c,South Africa
304,bronkies,left side,devils disciple,6b/+,South Africa
305,bronkies,left side,ex girlfriends crack,6a/+,South Africa
306,bronkies,left side,fruital brute,6a+,South Africa
307,bronkies,left side,grim reaper,6a+,South Africa
308,bronkies,left side,hannibal lecter,6c/+,South Africa
309,bronkies,left side,hello clarice,6b+/6c,South Africa
310,bronkies,left side,if women were gods,6a+/6b,South Africa
311,bronkies,left side,insomnia,7a/+,South Africa
312,bronkies,left side,joker,7a+,South Africa
313,bronkies,left side,lamb to the slaughter,6a+/6b,South Africa
314,bronkies,left side,memoirs of a belay bunny,6c,South Africa
315,bronkies,left side,paranoia,6c/+,South Africa
316,bronkies,left side,rock flower,5a+,South Africa
317,bronkies,left side,squeaker,5b,South Africa
318,bronkies,left side,stone dogs,6b/+,South Africa
319,bronkies,left side,urban raptors,6c+/7a,South Africa
320,bronkies,right side,after burn,7a+/7b,South Africa
321,bronkies,right side,austins mojo,5a,South Africa
322,bronkies,right side,barbarians,7a/+,South Africa
323,bronkies,right side,black out,7b+/7c,South Africa
324,bronkies,right side,black pearl,7b+,South Africa
325,bronkies,right side,blue boots,5,South Africa
326,bronkies,right side,blue suede shoes,6b/+,South Africa
327,bronkies,right side,bruce,6b+/6c,South Africa
328,bronkies,right side,dereks dilemma,6a+/6b,South Africa
329,bronkies,right side,eltons john,6b/+,South Africa
330,bronkies,right side,fallen boot,5a,South Africa
331,bronkies,right side,fire fly,7a,South Africa
332,bronkies,right side,footloose,7a+,South Africa
333,bronkies,right side,fragile ego,5c,South Africa
334,bronkies,right side,georges bush,6a+/6b,South Africa
335,bronkies,right side,green machine,6,South Africa
336,bronkies,right side,gunning for crows,5b,South Africa
337,bronkies,right side,hairy maclary,6a/+,South Africa
338,bronkies,right side,joint venture,6b+/6c,South Africa
339,bronkies,right side,kates moss,5b+,South Africa
340,bronkies,right side,keep walking johnny,7b+/7c,South Africa
341,bronkies,right side,mini me,5b+,South Africa
342,bronkies,right side,modern warfare,6b/+,South Africa
343,bronkies,right side,mokonunky,5,South Africa
344,bronkies,right side,mostly harmless,6b/+,South Africa
345,bronkies,right side,naked orange,6b+,South Africa
346,bronkies,right side,new years revolution,6c+,South Africa
347,bronkies,right side,no more freeloaders,5a,South Africa
348,bronkies,right side,of mice and men,6b+/6c,South Africa
349,bronkies,right side,once there were warriors aka you snooze you lose,7a+/7b,South Africa
350,bronkies,right side,pom pom dominatrix,6a+/6b,South Africa
351,bronkies,right side,pumpkin time,5b+,South Africa
352,bronkies,right side,rangers delight,5,South Africa
353,bronkies,right side,rastus,5c,South Africa
354,bronkies,right side,rat kid,7a+,South Africa
355,bronkies,right side,red dragon,8a/+,South Africa
356,bronkies,right side,rule number one,6b+/6c,South Africa
357,bronkies,right side,shining,7a+,South Africa
358,bronkies,right side,silence of the lambs,7a+,South Africa
359,bronkies,right side,straight and narrow,6b,South Africa
360,bronkies,right side,toms cruise,5b,South Africa
361,bronkies,right side,venus fly trap,5c+,South Africa
362,bronkies,right side,wasabi,6c+,South Africa
363,bronkies,right side,wild apricot,5a,South Africa
364,bronkies,right side,yellow submarine,6c+/7a,South Africa
365,bronkies,west,if women were gods,6a/+,South Africa
366,canyon,kloof gorge,vampire,7b+,South Africa
367,cauldron,montagu,bronze up,8a/+,South Africa
368,cauldron,montagu,shad,8a+/8b,South Africa
369,cauldron,montagu,switchbitch,8a+/8b,South Africa
370,chosspile,harry potter,balls of hagrid,6b/+,South Africa
371,chosspile,harry potter,bloody baron,5a,South Africa
372,chosspile,harry potter,chamber of secrets,7a,South Africa
373,chosspile,harry potter,cramcakes and scumbags,6a+,South Africa
374,chosspile,harry potter,crookshanks,5a+,South Africa
375,chosspile,harry potter,diffindo,6a+/6b,South Africa
376,chosspile,harry potter,griffendor,5b,South Africa
377,chosspile,harry potter,harry catastrophe right hand,5,South Africa
378,chosspile,harry potter,harry pothead,6a/+,South Africa
379,chosspile,harry potter,hermione puts out,6a,South Africa
380,chosspile,harry potter,huff n puff,5c+,South Africa
381,chosspile,harry potter,man thang,7a,South Africa
382,chosspile,harry potter,moaning murtle,6b+,South Africa
383,chosspile,harry potter,philosophers stoned,6a+/6b,South Africa
384,chosspile,harry potter,quidditch,6c,South Africa
385,chosspile,harry potter,ravens claw,5b,South Africa
386,chosspile,harry potter,salazar,6,South Africa
387,chosspile,harry potter,slab of snape,5,South Africa
388,chosspile,harry potter,slitherin variation,5c,South Africa
389,chosspile,harry potter,spongify,6b+/6c,South Africa
390,chosspile,harry potter,voltamor,6a/+,South Africa
391,chosspile,lord of the rings,big bully,7c+,South Africa
392,chosspile,lord of the rings,bio diesel,8a/+,South Africa
393,chosspile,lord of the rings,chossfather,7c/+,South Africa
394,chosspile,lord of the rings,dont deck,6c/+,South Africa
395,chosspile,lord of the rings,dont let go,7c/+,South Africa
