Country,grade_fra,route_count,color_intensity
Bulgaria,7b+,19,19
Bulgaria,7b+/7c,11,11
Bulgaria,7b/+,7,7
Bulgaria,7c,15,15
Bulgaria,7c+,8,8
Bulgaria,7c+/8a,6,6
Bulgaria,7c/+,12,12
Bulgaria,8a,3,3
Bulgaria,8a+,9,9
Bulgaria,8a+/8b,5,5
Bulgaria,8a/+,9,9
Bulgaria,8b,4,4
Bulgaria,8b+,2,2
Bulgaria,8b+/8c,3,3
Bulgaria,8b/+,9,9
Croatia,5,20,20
Croatia,5a,10,10
Croatia,5a+,18,18
Croatia,5b,11,11
Croatia,5b+,36,36
Croatia,5c,23,23
Croatia,5c+,8,8
Croatia,6,45,45
Croatia,6a,39,39
Croatia,6a+,31,31
Croatia,6a+/6b,36,36
Croatia,6a/+,30,30
Croatia,6b,24,24
Croatia,6b+,20,20
Croatia,6b+/6c,37,37
Croatia,6b/+,25,25
Croatia,6c,15,15
Croatia,6c+,21,21
Croatia,6c+/7a,5,5
Croatia,6c/+,19,19
Croatia,7a,25,25
Croatia,7a+,26,26
Croatia,7a+/7b,19,19
Croatia,7a/+,21,21
Croatia,7b,30,30
Croatia,7b+,14,14
Croatia,7b+/7c,13,13
Croatia,7b/+,22,22
Croatia,7c,19,19
Croatia,7c+,6,6
Croatia,7c+/8a,5,5
Croatia,7c/+,6,6
Croatia,8a,2,2
Croatia,8a+,1,1
Croatia,8a+/8b,5,5
Croatia,8a/+,10,10
Croatia,8b,1,1
Croatia,8b+,2,2
Croatia,8b+/8c,2,2
Croatia,8b/+,5,5
Denmark,5,3,3
Denmark,5a+,2,2
Denmark,5b,1,1
Denmark,5b+,2,2
Denmark,6,3,3
Denmark,6a+,1,1
Denmark,6a+/6b,3,3
Denmark,6b/+,1,1
Denmark,6c+,1,1
Denmark,7a,1,1
Denmark,7a+,2,2
Finland,5,2,2
Finland,6,2,2
Finland,6a,1,1
Finland,6a+/6b,1,1
Finland,6a/+,1,1
Finland,6b+/6c,1,1
France,5,13,13
France,5a,6,6
France,5a+,36,36
France,5b,10,10
France,5b+,74,74
France,5c,33,33
France,5c+,12,12
France,6,119,119
France,6a,58,58
France,6a+,44,44
France,6a+/6b,136,136
France,6a/+,114,114
France,6b,63,63
France,6b+,80,80
France,6b+/6c,179,179
France,6b/+,126,126
France,6c,90,90
France,6c+,63,63
France,6c+/7a,39,39
France,6c/+,105,105
France,7a,294,294
France,7a+,245,245
France,7a+/7b,132,132
France,7a/+,147,147
France,7b,258,258
France,7b+,202,202
France,7b+/7c,90,90
France,7b/+,139,139
France,7c,206,206
France,7c+,141,141
France,7c+/8a,96,96
France,7c/+,103,103
France,8a,39,39
France,8a+,104,104
France,8a+/8b,120,120
France,8a/+,213,213
France,8b,49,49
France,8b+,24,24
France,8b+/8c,46,46
France,8b/+,85,85
France,8c,16,16
France,8c+,8,8
France,8c+/9a,11,11
France,8c/+,21,21
France,9a,1,1
France,9a+,3,3
France,9a/+,3,3
France,9b/+,2,2
Germany,5,53,53
Germany,5a,34,34
Germany,5a+,62,62
Germany,5b,38,38
Germany,5b+,97,97
Germany,5c,37,37
Germany,5c+,50,50
Germany,6,153,153
Germany,6a,91,91
Germany,6a+,108,108
Germany,6a+/6b,178,178
Germany,6a/+,158,158
Germany,6b,94,94
Germany,6b+,99,99
Germany,6b+/6c,79,79
Germany,6b/+,111,111
Germany,6c,39,39
Germany,6c+,97,97
Germany,6c+/7a,26,26
Germany,6c/+,178,178
Germany,7a,181,181
Germany,7a+,100,100
Germany,7a+/7b,76,76
Germany,7a/+,88,88
Germany,7b,56,56
Germany,7b+,129,129
Germany,7b+/7c,45,45
Germany,7b/+,34,34
Germany,7c,92,92
Germany,7c+,47,47
Germany,7c+/8a,16,16
Germany,7c/+,35,35
Germany,8a,12,12
Germany,8a+,17,17
Germany,8a+/8b,31,31
Germany,8a/+,38,38
Germany,8b,19,19
Germany,8b+,6,6
